freq,tra_infr,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,MWAY,KM,TR10	194 	186 	186 	186 	186 	303 	303 	303 	451 	451 	513 	513 
A,MWAY,KM,TR21	183 	165 	165 	165 	165 	165 	165 	165 	165 	165 	165 	165 
A,MWAY,KM,TR22	0 	0 	0 	0 	0 	: 	: 	: 	: 	39 	70 	104 
A,MWAY,KM,TR31	210 	209 	209 	213 	213 	213 	221 	225 	247 	258 	258 	349 
A,MWAY,KM,TR32	51 	51 	51 	51 	51 	51 	51 	51 	53 	53 	53 	53 
A,MWAY,KM,TR33	0 	0 	0 	0 	0 	: 	: 	: 	: 	48 	100 	128 
A,MWAY,KM,TR41	65 	65 	74 	74 	74 	74 	80 	80 	131 	148 	148 	199 
A,MWAY,KM,TR42	329 	331 	331 	331 	331 	330 	330 	330 	367 	367 	405 	419 
A,MWAY,KM,TR51	199 	198 	198 	198 	198 	198 	198 	198 	198 	198 	200 	200 
A,MWAY,KM,TR52	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TR61	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TR62	311 	311 	318 	311 	309 	307 	307 	307 	307 	307 	307 	307 
A,MWAY,KM,TR63	203 	195 	195 	195 	195 	194 	194 	194 	194 	194 	194 	194 
A,MWAY,KM,TR71	0 	70 	70 	104 	114 	115 	135 	135 	135 	135 	135 	135 
A,MWAY,KM,TR72	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TR81	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TR82	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TR83	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TR90	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,TRA1	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TRA2	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TRB1	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TRB2	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,TRC1	156 	134 	137 	145 	145 	148 	148 	148 	148 	148 	148 	148 
A,MWAY,KM,TRC2	109 	121 	146 	146 	146 	146 	146 	146 	146 	146 	146 	146 
A,MWAY,KM,TRC3	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	0 
A,MWAY,KM,UKN0	114 	114 	114 	115 	116 	115 	115 	115 	115 	115 	115 	: 
A,MWAY,KM_TKM2,AT11	22 	22 	22 	22 	22 	22 	22 	22 	20 	20 	20 	20 
A,MWAY,KM_TKM2,AT12	17 	17 	18 	18 	19 	19 	19 	19 	18 	20 	20 	20 
A,MWAY,KM_TKM2,AT13	109 	109 	109 	109 	109 	109 	109 	109 	104 	104 	104 	104 
A,MWAY,KM_TKM2,AT21	26 	26 	26 	26 	26 	26 	26 	26 	25 	25 	25 	25 
A,MWAY,KM_TKM2,AT22	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 	19 
A,MWAY,KM_TKM2,AT31	26 	26 	26 	26 	26 	26 	26 	26 	25 	25 	25 	25 
A,MWAY,KM_TKM2,AT32	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 
