Year,Country,Unit,MotorwayLengthKm
2018,SK,KM,483.0
2018,SK,KM_TKM2,77.0
2018,TR,KM,2842.0
2018,TR,KM_TKM2,202.0
2018,UK,KM,115.0
2018,UK,KM_TKM2,8.0
2019,AT,KM,1749.0
2019,AT,KM_TKM2,272.0
2019,BE,KM,1765.0
2019,BE,KM_TKM2,664.0
2019,BG,KM,790.0
2019,BG,KM_TKM2,41.0
2019,CY,KM,257.0
2019,CY,KM_TKM2,28.0
2019,CZ,KM,1276.0
2019,CZ,KM_TKM2,205.0
2019,DE,KM,3422.0
2019,DE,KM_TKM2,613.0
2019,DK,KM,1345.0
2019,DK,KM_TKM2,184.0
2019,EE,KM,161.0
2019,EE,KM_TKM2,4.0
2019,FI,KM,926.0
2019,FI,KM_TKM2,47.0
2019,FR,KM,11676.0
2019,FR,KM_TKM2,52.0
2019,HR,KM,1310.0
2019,HR,KM_TKM2,47.0
2019,HU,KM,1723.0
2019,HU,KM_TKM2,103.0
2019,IE,KM,996.0
2019,LI,KM,0.0
2019,LI,KM_TKM2,0.0
2019,LT,KM,403.0
2019,LU,KM,165.0
2019,LU,KM_TKM2,64.0
2019,LV,KM,0.0
2019,LV,KM_TKM2,0.0
2019,MT,KM,0.0
2019,MT,KM_TKM2,0.0
2019,NL,KM,2791.0
2019,NL,KM_TKM2,832.0
2019,NO,KM,593.0
2019,NO,KM_TKM2,45.0
2019,PL,KM,1613.0
2019,PL,KM_TKM2,74.0
2019,PT,KM,0.0
2019,PT,KM_TKM2,0.0
2019,RO,KM,866.0
2019,RO,KM_TKM2,69.0
2019,SE,KM,2133.0
2019,SE,KM_TKM2,116.0
2019,SI,KM,623.0
2019,SI,KM_TKM2,64.0
2019,SK,KM,496.0
2019,SK,KM_TKM2,78.0
2019,TR,KM,3060.0
2019,TR,KM_TKM2,215.0
