Unit,Age,Sex,Location,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status,2020,2020_status
NR,TOTAL,T,ES,2174077,ok,2179521,ok,2183136,ok,2184696,ok,2177006,ok,2167166,ok,2165100,ok,2164066,ok,2167323,ok,2170868,ok,2177880,ok,2189138,ok
NR,TOTAL,T,ES,627286,ok,633023,ok,637100,ok,640014,ok,638948,ok,636450,ok,636402,ok,637486,ok,640353,ok,643866,ok,649946,ok,656509,ok
NR,TOTAL,T,ES,319788,ok,319934,ok,320858,ok,320951,ok,318647,ok,315223,ok,313569,ok,312810,ok,312624,ok,312884,ok,313571,ok,315931,ok
NR,TOTAL,T,ES,1342788,ok,1344181,ok,1344385,ok,1343807,ok,1338316,ok,1331301,ok,1326403,ok,1318571,ok,1316072,ok,1313135,ok,1320586,ok,1330333,ok
NR,TOTAL,T,ES,6327559,ok,6373546,ok,6394252,ok,6425522,ok,6414620,ok,6378297,ok,6385298,ok,6424275,ok,6476838,ok,6549520,ok,6641649,ok,6747068,ok
NR,TOTAL,T,ES,2549172,ok,2547401,ok,2545301,ok,2537685,ok,2518560,ok,2495689,ok,2478079,ok,2454454,ok,2435951,ok,2418556,ok,2407733,ok,2401307,ok
NR,TOTAL,T,ES,2066428,ok,2084468,ok,2099064,ok,2105935,ok,2094406,ok,2075197,ok,2062767,ok,2048900,ok,2040977,ok,2032595,ok,2034877,ok,2045554,ok
NR,TOTAL,T,ES,1094693,ok,1099610,ok,1102299,ok,1104336,ok,1100970,ok,1096421,ok,1091623,ok,1084969,ok,1077525,ok,1070453,ok,1065424,ok,1061979,ok
NR,TOTAL,T,ES,7427092,ok,7463488,ok,7493263,ok,7514991,ok,7480921,ok,7416237,ok,7396991,ok,7408290,ok,7441284,ok,7488718,ok,7566431,ok,7652348,ok
NR,TOTAL,T,ES,4981284,ok,4989631,ok,4999192,ok,5009650,ok,4987011,ok,4956427,ok,4939674,ok,4932347,ok,4935182,ok,4946233,ok,4974969,ok,5029341,ok
