TypeOfRoad,Unit,Country,Year,RoadTrafficDeaths
TOTAL,NR,BE,2002,1306.0
TOTAL,NR,BG,2002,959.0
TOTAL,NR,CH,2002,513.0
TOTAL,NR,CY,2002,94.0
TOTAL,NR,CZ,2002,1430.0
TOTAL,NR,DE,2002,6842.0
TOTAL,NR,DK,2002,463.0
TOTAL,NR,EE,2002,223.0
TOTAL,NR,EL,2002,1634.0
TOTAL,NR,ES,2002,5312.0
TOTAL,NR,EU27_2020,2002,50343.0
TOTAL,NR,EU28,2002,53924.0
TOTAL,NR,FI,2002,415.0
TOTAL,NR,FR,2002,7630.0
TOTAL,NR,HR,2002,627.0
TOTAL,NR,HU,2002,1429.0
TOTAL,NR,IE,2002,378.0
TOTAL,NR,IS,2002,29.0
TOTAL,NR,IT,2002,6980.0
TOTAL,NR,LI,2002,0.0
TOTAL,NR,LT,2002,697.0
TOTAL,NR,LU,2002,62.0
TOTAL,NR,LV,2002,559.0
TOTAL,NR,MT,2002,16.0
TOTAL,NR,NL,2002,987.0
TOTAL,NR,NO,2002,310.0
TOTAL,NR,PL,2002,5826.0
TOTAL,NR,PT,2002,1653.0
TOTAL,NR,RO,2002,2411.0
TOTAL,NR,SE,2002,560.0
TOTAL,NR,SI,2002,269.0
TOTAL,NR,SK,2002,625.0
TOTAL,NR,UK,2002,3581.0
TOTAL,RT,AT,2002,11.8
TOTAL,RT,BE,2002,12.6
TOTAL,RT,BG,2002,12.2
TOTAL,RT,CH,2002,7.0
TOTAL,RT,CY,2002,13.2
TOTAL,RT,CZ,2002,14.0
TOTAL,RT,DE,2002,8.3
TOTAL,RT,DK,2002,8.6
TOTAL,RT,EE,2002,16.2
TOTAL,RT,EL,2002,15.0
TOTAL,RT,ES,2002,12.8
TOTAL,RT,EU27_2020,2002,11.7
TOTAL,RT,EU28,2002,11.0
TOTAL,RT,FI,2002,8.0
TOTAL,RT,FR,2002,12.4
TOTAL,RT,HR,2002,14.6
TOTAL,RT,HU,2002,14.1
TOTAL,RT,IE,2002,9.6
TOTAL,RT,IS,2002,10.1
TOTAL,RT,IT,2002,12.2
TOTAL,RT,LI,2002,0.0
TOTAL,RT,LT,2002,20.2
TOTAL,RT,LU,2002,13.9
TOTAL,RT,LV,2002,24.2
TOTAL,RT,MT,2002,4.0
TOTAL,RT,NL,2002,6.1
TOTAL,RT,NO,2002,6.8
TOTAL,RT,PL,2002,15.2
TOTAL,RT,PT,2002,15.9
TOTAL,RT,RO,2002,11.1
TOTAL,RT,SE,2002,6.3
TOTAL,RT,SI,2002,13.5
TOTAL,RT,SK,2002,11.6
TOTAL,RT,UK,2002,6.0
UNK,NR,BG,2002,959.0
UNK,NR,CY,2002,94.0
UNK,NR,EE,2002,223.0
UNK,NR,HR,2002,627.0
UNK,NR,HU,2002,1429.0
UNK,NR,LI,2002,0.0
UNK,NR,LT,2002,697.0
UNK,NR,LV,2002,559.0
UNK,NR,MT,2002,16.0
UNK,NR,NO,2002,310.0
UNK,RT,BG,2002,12.2
UNK,RT,CY,2002,13.2
UNK,RT,EE,2002,16.2
UNK,RT,HR,2002,14.6
UNK,RT,HU,2002,14.1
UNK,RT,LI,2002,0.0
UNK,RT,LT,2002,20.2
UNK,RT,LV,2002,24.2
UNK,RT,MT,2002,4.0
UNK,RT,NO,2002,6.8
MWAY,NR,AT,2003,106.0
MWAY,NR,BE,2003,140.0
MWAY,NR,CH,2003,58.0
MWAY,NR,CZ,2003,48.0
MWAY,NR,DE,2003,811.0
MWAY,NR,DK,2003,31.0
MWAY,NR,EL,2003,58.0
MWAY,NR,ES,2003,1056.0
MWAY,NR,FI,2003,7.0
MWAY,NR,FR,2003,432.0
MWAY,NR,HU,2003,58.0
MWAY,NR,IE,2003,8.0
MWAY,NR,IT,2003,711.0
MWAY,NR,LU,2003,6.0
MWAY,NR,NL,2003,151.0
MWAY,NR,PL,2003,36.0
MWAY,NR,PT,2003,122.0
MWAY,NR,RO,2003,12.0
MWAY,NR,SE,2003,30.0
MWAY,NR,SI,2003,34.0
MWAY,NR,SK,2003,16.0
MWAY,NR,UK,2003,215.0
MWAY,RT,AT,2003,1.3
MWAY,RT,BE,2003,1.3
MWAY,RT,CH,2003,0.8
MWAY,RT,CZ,2003,0.5
MWAY,RT,DE,2003,1.0
MWAY,RT,DK,2003,0.6
MWAY,RT,EL,2003,0.5
